D³ugoœæ;G³êbokoœæ;Wysokoœæ;;Cena katalogowa 2022;Cena katalogowa 11.2021;Ró¿nica 11.2021-12.2021;;
2700;600;850;3101.276;2868;2335;23;3101;
2800;600;850;3101.286;2933;2386;23;3101;
400;700;850;3101.047;1189;997;19;3101;
500;700;850;3101.057;1258;1050;20;3101;
600;700;850;3101.067;1326;1104;20;3101;
700;700;850;3101.077;1395;1157;21;3101;
800;700;850;3101.087;1463;1210;21;3101;
900;700;850;3101.097;1532;1264;21;3101;
1000;700;850;3101.107;1600;1317;21;3101;
1100;700;850;3101.117;1668;1370;22;3101;
1200;700;850;3101.127;1736;1423;22;3101;
1300;700;850;3101.137;1805;1477;22;3101;
1400;700;850;3101.147;1873;1530;22;3101;
1500;700;850;3101.157;1942;1583;23;3101;
1600;700;850;3101.167;2010;1637;23;3101;
1700;700;850;3101.177;2079;1690;23;3101;
1800;700;850;3101.187;2147;1743;23;3101;
1900;700;850;3101.197;2216;1797;23;3101;
2000;700;850;3101.207;2284;1850;23;3101;
2100;700;850;3101.217;2602;2125;22;3101;
2200;700;850;3101.227;2671;2178;23;3101;
2300;700;850;3101.237;2739;2232;23;3101;
2400;700;850;3101.247;2808;2285;23;3101;
2500;700;850;3101.257;2876;2338;23;3101;
2600;700;850;3101.267;2945;2392;23;3101;
2700;700;850;3101.277;3013;2445;23;3101;
2800;700;850;3101.287;3082;2498;23;3101;
400;800;850;3101.048;1255;1047;20;3101;
500;800;850;3101.058;1333;1108;20;3101;
600;800;850;3101.068;1411;1169;21;3101;
700;800;850;3101.078;1490;1229;21;3101;
800;800;850;3101.088;1568;1290;22;3101;
900;800;850;3101.098;1646;1350;22;3101;
1000;800;850;3101.108;1725;1411;22;3101;
1100;800;850;3101.118;1803;1471;23;3101;
1200;800;850;3101.128;1881;1532;23;3101;
1300;800;850;3101.138;1959;1593;23;3101;
1400;800;850;3101.148;2038;1653;23;3101;
1500;800;850;3101.158;2116;1714;23;3101;
1600;800;850;3101.168;2194;1774;24;3101;
1700;800;850;3101.178;2273;1835;24;3101;
1800;800;850;3101.188;2351;1895;24;3101;
1900;800;850;3101.198;2429;1956;24;3101;
2000;800;850;3101.208;2507;2016;24;3101;
2100;800;850;3101.218;2847;2308;23;3101;
2200;800;850;3101.228;2925;2369;23;3101;
2300;800;850;3101.238;3003;2429;24;3101;
2400;800;850;3101.248;3082;2490;24;3101;
2500;800;850;3101.258;3160;2550;24;3101;
2600;800;850;3101.268;3238;2611;24;3101;
2700;800;850;3101.278;3317;2672;24;3101;
2800;800;850;3101.288;3395;2732;24;3101;
400;600;850;3105.046;1292;1112;16;3105;
500;600;850;3105.056;1388;1185;17;3105;
600;600;850;3105.066;1484;1258;18;3105;
700;600;850;3105.076;1579;1331;19;3105;
800;600;850;3105.086;1675;1404;19;3105;
900;600;850;3105.096;1770;1476;20;3105;
1000;600;850;3105.106;1866;1549;20;3105;
1100;600;850;3105.116;1962;1622;21;3105;
1200;600;850;3105.126;2057;1695;21;3105;
1300;600;850;3105.136;2153;1768;22;3105;
1400;600;850;3105.146;2248;1841;22;3105;
1500;600;850;3105.156;2344;1914;22;3105;
1600;600;850;3105.166;2439;1986;23;3105;
1700;600;850;3105.176;2536;2060;23;3105;
1800;600;850;3105.186;2631;2133;23;3105;
1900;600;850;3105.196;2727;2205;24;3105;
2000;600;850;3105.206;2822;2278;24;3105;
2100;600;850;3105.216;3121;2534;23;3105;
2200;600;850;3105.226;3217;2607;23;3105;
2300;600;850;3105.236;3312;2680;24;3105;
2400;600;850;3105.246;3408;2753;24;3105;
2500;600;850;3105.256;3503;2825;24;3105;
2600;600;850;3105.266;3599;2898;24;3105;
2700;600;850;3105.276;3695;2971;24;3105;
2800;600;850;3105.286;3790;3044;25;3105;
400;700;850;3105.047;1349;1154;17;3105;
500;700;850;3105.057;1452;1233;18;3105;
600;700;850;3105.067;1556;1312;19;3105;
700;700;850;3105.077;1659;1390;19;3105;
800;700;850;3105.087;1762;1469;20;3105;
900;700;850;3105.097;1866;1547;21;3105;
1000;700;850;3105.107;1969;1626;21;3105;
1100;700;850;3105.117;2072;1704;22;3105;
1200;700;850;3105.127;2175;1783;22;3105;
1300;700;850;3105.137;2279;1861;22;3105;
1400;700;850;3105.147;2382;1940;23;3105;
1500;700;850;3105.157;2485;2019;23;3105;
1600;700;850;3105.167;2588;2097;23;3105;
1700;700;850;3105.177;2692;2176;24;3105;
1800;700;850;3105.187;2795;2254;24;3105;
1900;700;850;3105.197;2898;2333;24;3105;
2000;700;850;3105.207;3002;2411;24;3105;
2100;700;850;3105.217;3313;2677;24;3105;
2200;700;850;3105.227;3417;2755;24;3105;
2300;700;850;3105.237;3520;2834;24;3105;
2400;700;850;3105.247;3623;2912;24;3105;
2500;700;850;3105.257;3727;2991;25;3105;
2600;700;850;3105.267;3830;3070;25;3105;
2700;700;850;3105.277;3933;3148;25;3105;
2800;700;850;3105.287;4037;3227;25;3105;
400;800;850;3105.048;1406;1196;18;3105;
500;800;850;3105.058;1517;1281;18;3105;
600;800;850;3105.068;1628;1365;19;3105;
700;800;850;3105.078;1739;1449;20;3105;
800;800;850;3105.088;1850;1533;21;3105;
900;800;850;3105.098;1961;1618;21;3105;
1000;800;850;3105.108;2071;1702;22;3105;
1100;800;850;3105.118;2183;1786;22;3105;
1200;800;850;3105.128;2294;1871;23;3105;
1300;800;850;3105.138;2405;1955;23;3105;
1400;800;850;3105.148;2516;2039;23;3105;
1500;800;850;3105.158;2627;2123;24;3105;
1600;800;850;3105.168;2738;2208;24;3105;
1700;800;850;3105.178;2848;2292;24;3105;
1800;800;850;3105.188;2959;2376;25;3105;
1900;800;850;3105.198;3070;2460;25;3105;
2000;800;850;3105.208;3181;2545;25;3105;
2100;800;850;3105.218;3506;2820;24;3105;
2200;800;850;3105.228;3617;2904;25;3105;
2300;800;850;3105.238;3728;2988;25;3105;
2400;800;850;3105.248;3839;3072;25;3105;
2500;800;850;3105.258;3950;3157;25;3105;
2600;800;850;3105.268;4061;3241;25;3105;
2700;800;850;3105.278;4171;3325;25;3105;
2800;800;850;3105.288;4282;3409;26;3105;
400;600;850;3109.046;1511;1306;16;3109;
500;600;850;3109.056;1604;1377;16;3109;
600;600;850;3109.066;1696;1448;17;3109;
700;600;850;3109.076;1789;1519;18;3109;
800;600;850;3109.086;1882;1590;18;3109;
900;600;850;3109.096;1974;1661;19;3109;
1000;600;850;3109.106;2067;1732;19;3109;
1100;600;850;3109.116;2159;1802;20;3109;
1200;600;850;3109.126;2252;1873;20;3109;
1300;600;850;3109.136;2344;1944;21;3109;
1400;600;850;3109.146;2437;2015;21;3109;
1500;600;850;3109.156;2529;2086;21;3109;
1600;600;850;3109.166;2622;2157;22;3109;
1700;600;850;3109.176;2715;2228;22;3109;
1800;600;850;3109.186;2807;2299;22;3109;
1900;600;850;3109.196;2900;2370;22;3109;
2000;600;850;3109.206;2993;2441;23;3109;
2100;600;850;3109.216;3325;2722;22;3109;
2200;600;850;3109.226;3397;2778;22;3109;
2300;600;850;3109.236;3510;2864;23;3109;
2400;600;850;3109.246;3582;2920;23;3109;
2500;600;850;3109.256;3696;3006;23;3109;
2600;600;850;3109.266;3767;3062;23;3109;
2700;600;850;3109.276;3880;3147;23;3109;
2800;600;850;3109.286;3952;3203;23;3109;
400;700;850;3109.047;1564;1347;16;3109;
500;700;850;3109.057;1664;1423;17;3109;
600;700;850;3109.067;1764;1499;18;3109;
700;700;850;3109.077;1864;1575;18;3109;
800;700;850;3109.087;1964;1652;19;3109;
900;700;850;3109.097;2064;1728;19;3109;
1000;700;850;3109.107;2164;1804;20;3109;
1100;700;850;3109.117;2264;1880;20;3109;
1200;700;850;3109.127;2364;1956;21;3109;
1300;700;850;3109.137;2464;2033;21;3109;
1400;700;850;3109.147;2564;2109;22;3109;
1500;700;850;3109.157;2664;2185;22;3109;
1600;700;850;3109.167;2764;2262;22;3109;
1700;700;850;3109.177;2864;2338;22;3109;
1800;700;850;3109.187;2964;2414;23;3109;
1900;700;850;3109.197;3064;2490;23;3109;
2000;700;850;3109.207;3164;2567;23;3109;
2100;700;850;3109.217;3515;2863;23;3109;
2200;700;850;3109.227;3591;2921;23;3109;
2300;700;850;3109.237;3715;3015;23;3109;
2400;700;850;3109.247;3791;3074;23;3109;
2500;700;850;3109.257;3915;3168;24;3109;
2600;700;850;3109.267;3991;3227;24;3109;
2700;700;850;3109.277;4115;3320;24;3109;
2800;700;850;3109.287;4191;3379;24;3109;
400;800;850;3109.048;1641;1404;17;3109;
500;800;850;3109.058;1755;1490;18;3109;
600;800;850;3109.068;1868;1576;19;3109;
700;800;850;3109.078;1981;1662;19;3109;
800;800;850;3109.088;2095;1748;20;3109;
900;800;850;3109.098;2208;1834;20;3109;
1000;800;850;3109.108;2322;1920;21;3109;
1100;800;850;3109.118;2435;2006;21;3109;
1200;800;850;3109.128;2548;2092;22;3109;
1300;800;850;3109.138;2662;2178;22;3109;
1400;800;850;3109.148;2775;2264;23;3109;
1500;800;850;3109.158;2888;2350;23;3109;
1600;800;850;3109.168;3001;2436;23;3109;
1700;800;850;3109.178;3115;2522;24;3109;
1800;800;850;3109.188;3228;2608;24;3109;
1900;800;850;3109.198;3341;2694;24;3109;
2000;800;850;3109.208;3455;2780;24;3109;
2100;800;850;3109.218;3831;3094;24;3109;
2200;800;850;3109.228;3917;3160;24;3109;
2300;800;850;3109.238;4058;3266;24;3109;
2400;800;850;3109.248;4144;3332;24;3109;
2500;800;850;3109.258;4284;3438;25;3109;
2600;800;850;3109.268;4370;3504;25;3109;
2700;800;850;3109.278;4512;3610;25;3109;
2800;800;850;3109.288;4598;3677;25;3109;
2900;800;850;3109.298;4738;3782;25;3109;
400;600;850;3103.046;1577;1402;12;3103;
500;600;850;3103.056;1649;1460;13;3103;
600;600;850;3103.066;1721;1518;13;3103;
700;600;850;3103.076;1793;1576;14;3103;
800;600;850;3103.086;1865;1635;14;3103;
900;600;850;3103.096;1938;1693;14;3103;
1000;600;850;3103.106;2010;1751;15;3103;
1100;600;850;3103.116;2082;1809;15;3103;
1200;600;850;3103.126;2178;1885;16;3103;
1300;600;850;3103.136;2250;1943;16;3103;
1400;600;850;3103.146;2322;2001;16;3103;
1500;600;850;3103.156;2394;2059;16;3103;
1600;600;850;3103.166;2466;2118;16;3103;
1700;600;850;3103.176;2538;2176;17;3103;
1800;600;850;3103.186;2611;2234;17;3103;
1900;600;850;3103.196;2683;2292;17;3103;
2000;600;850;3103.206;2755;2350;17;3103;
400;700;850;3103.047;1633;1447;13;3103;
500;700;850;3103.057;1710;1509;13;3103;
600;700;850;3103.067;1786;1570;14;3103;
700;700;850;3103.077;1862;1631;14;3103;
800;700;850;3103.087;1938;1692;15;3103;
900;700;850;3103.097;2014;1753;15;3103;
1000;700;850;3103.107;2090;1814;15;3103;
1100;700;850;3103.117;2167;1876;16;3103;
1200;700;850;3103.127;2272;1959;16;3103;
1300;700;850;3103.137;2348;2020;16;3103;
1400;700;850;3103.147;2424;2081;16;3103;
1500;700;850;3103.157;2500;2142;17;3103;
1600;700;850;3103.167;2576;2203;17;3103;
1700;700;850;3103.177;2652;2264;17;3103;
1800;700;850;3103.187;2728;2326;17;3103;
1900;700;850;3103.197;2804;2387;18;3103;
2000;700;850;3103.207;2881;2448;18;3103;
400;800;850;3103.048;1690;1493;13;3103;
500;800;850;3103.058;1770;1557;14;3103;
600;800;850;3103.068;1850;1621;14;3103;
700;800;850;3103.078;1930;1685;15;3103;
800;800;850;3103.088;2010;1749;15;3103;
900;800;850;3103.098;2091;1813;15;3103;
1000;800;850;3103.108;2171;1878;16;3103;
1100;800;850;3103.118;2251;1942;16;3103;
1200;800;850;3103.128;2365;2032;16;3103;
1300;800;850;3103.138;2446;2097;17;3103;
1400;800;850;3103.148;2526;2161;17;3103;
1500;800;850;3103.158;2606;2225;17;3103;
1600;800;850;3103.168;2686;2289;17;3103;
1700;800;850;3103.178;2766;2353;18;3103;
1800;800;850;3103.188;2846;2418;18;3103;
1900;800;850;3103.198;2926;2482;18;3103;
2000;800;850;3103.208;3006;2546;18;3103;
400;600;850;3107.046;1730;1519;14;3107;
500;600;850;3107.056;1835;1599;15;3107;
600;600;850;3107.066;1941;1679;16;3107;
700;600;850;3107.076;2046;1760;16;3107;
800;600;850;3107.086;2152;1840;17;3107;
900;600;850;3107.096;2257;1921;18;3107;
1000;600;850;3107.106;2363;2001;18;3107;
1100;600;850;3107.116;2469;2082;19;3107;
1200;600;850;3107.126;2574;2162;19;3107;
1300;600;850;3107.136;2680;2243;19;3107;
1400;600;850;3107.146;2785;2323;20;3107;
1500;600;850;3107.156;2891;2404;20;3107;
1600;600;850;3107.166;2996;2484;21;3107;
1700;600;850;3107.176;3102;2565;21;3107;
1800;600;850;3107.186;3207;2645;21;3107;
1900;600;850;3107.196;3313;2726;22;3107;
2000;600;850;3107.206;3418;2806;22;3107;
400;700;850;3107.047;1799;1570;15;3107;
500;700;850;3107.057;1913;1656;15;3107;
600;700;850;3107.067;2026;1743;16;3107;
700;700;850;3107.077;2140;1829;17;3107;
800;700;850;3107.087;2253;1916;18;3107;
900;700;850;3107.097;2367;2002;18;3107;
1000;700;850;3107.107;2480;2089;19;3107;
1100;700;850;3107.117;2594;2175;19;3107;
1200;700;850;3107.127;2707;2262;20;3107;
1300;700;850;3107.137;2821;2348;20;3107;
1400;700;850;3107.147;2934;2434;21;3107;
1500;700;850;3107.157;3048;2521;21;3107;
1600;700;850;3107.167;3161;2607;21;3107;
1700;700;850;3107.177;3275;2694;22;3107;
1800;700;850;3107.187;3388;2780;22;3107;
1900;700;850;3107.197;3502;2867;22;3107;
2000;700;850;3107.207;3615;2953;22;3107;
400;800;850;3107.048;1868;1622;15;3107;
500;800;850;3107.058;1990;1714;16;3107;
600;800;850;3107.068;2111;1806;17;3107;
700;800;850;3107.078;2233;1899;18;3107;
800;800;850;3107.088;2355;1991;18;3107;
900;800;850;3107.098;2476;2084;19;3107;
1000;800;850;3107.108;2598;2176;19;3107;
1100;800;850;3107.118;2719;2268;20;3107;
1200;800;850;3107.128;2841;2361;20;3107;
1300;800;850;3107.138;2962;2453;21;3107;
1400;800;850;3107.148;3084;2546;21;3107;
1500;800;850;3107.158;3205;2638;22;3107;
1600;800;850;3107.168;3327;2730;22;3107;
1700;800;850;3107.178;3449;2823;22;3107;
1800;800;850;3107.188;3570;2915;22;3107;
1900;800;850;3107.198;3692;3008;23;3107;
2000;800;850;3107.208;3813;3100;23;3107;
600/900;600/900;850;3135.066;2000;1693;18;3135;
700/1000;600/900;850;3135.076;2081;1758;18;3135;
800/1100;600/900;850;3135.086;2163;1824;19;3135;
600/900;700/1000;850;3135.067;2069;1749;18;3135;
700/1000;700/1000;850;3135.077;2155;1817;19;3135;
800/1100;700/1000;850;3135.087;2240;1886;19;3135;
600/900;800/1100;850;3135.068;2139;1805;18;3135;
700/1000;800/1100;850;3135.078;2228;1876;19;3135;
800/1100;800/1100;850;3135.088;2317;1948;19;3135;
600/900;600/900;850;3136.066;2453;2023;21;3136;
700/1000;600/900;850;3136.076;2574;2115;22;3136;
800/1100;600/900;850;3136.086;2694;2206;22;3136;
600/900;700/1000;850;3136.067;2556;2102;22;3136;
700/1000;700/1000;850;3136.077;2685;2199;22;3136;
800/1100;700/1000;850;3136.087;2813;2296;23;3136;
600/900;800/1100;850;3136.068;2659;2179;22;3136;
700/1000;800/1100;850;3136.078;2795;2282;22;3136;
800/1100;800/1100;850;3136.088;2932;2386;23;3136;
800;600;850;3110.086;3914;3025;29;3110;
900;600;850;3110.096;3977;3071;30;3110;
1000;600;850;3110.106;4040;3117;30;3110;
1100;600;850;3110.116;4103;3163;30;3110;
1200;600;850;3110.126;4165;3208;30;3110;
1300;600;850;3110.136;4228;3254;30;3110;
1400;600;850;3110.146;4291;3300;30;3110;
1500;600;850;3110.156;4354;3346;30;3110;
1600;600;850;3110.166;4417;3392;30;3110;
1700;600;850;3110.176;4480;3438;30;3110;
1800;600;850;3110.186;4543;3484;30;3110;
1900;600;850;3110.196;4606;3530;30;3110;
2000;600;850;3110.206;4710;3612;30;3110;
2100;600;850;3110.216;4773;3658;30;3110;
2200;600;850;3110.226;4836;3704;31;3110;
2300;600;850;3110.236;4899;3750;31;3110;
2400;600;850;3110.246;4962;3796;31;3110;
800;700;850;3110.087;4051;3120;30;3110;
900;700;850;3110.097;4118;3169;30;3110;
1000;700;850;3110.107;4185;3217;30;3110;
1100;700;850;3110.117;4252;3266;30;3110;
1200;700;850;3110.127;4318;3315;30;3110;
1300;700;850;3110.137;4385;3363;30;3110;
1400;700;850;3110.147;4452;3412;30;3110;
1500;700;850;3110.157;4518;3460;31;3110;
1600;700;850;3110.167;4585;3509;31;3110;
1700;700;850;3110.177;4652;3557;31;3110;
1800;700;850;3110.187;4718;3606;31;3110;
1900;700;850;3110.197;4785;3654;31;3110;
2000;700;850;3110.207;4894;3739;31;3110;
2100;700;850;3110.217;4960;3788;31;3110;
2200;700;850;3110.227;5023;3833;31;3110;
2300;700;850;3110.237;5094;3885;31;3110;
2400;700;850;3110.247;5161;3934;31;3110;
800;800;850;3110.088;4234;3247;30;3110;
900;800;850;3110.098;4311;3302;31;3110;
1000;800;850;3110.108;4387;3357;31;3110;
1100;800;850;3110.118;4463;3413;31;3110;
1200;800;850;3110.128;4539;3468;31;3110;
1300;800;850;3110.138;4616;3523;31;3110;
1400;800;850;3110.148;4692;3578;31;3110;
1500;800;850;3110.158;4768;3633;31;3110;
1600;800;850;3110.168;4845;3688;31;3110;
1700;800;850;3110.178;4921;3744;31;3110;
1800;800;850;3110.188;4997;3799;32;3110;
1900;800;850;3110.198;5074;3854;32;3110;
2000;800;850;3110.208;5192;3945;32;3110;
2100;800;850;3110.218;5268;4000;32;3110;
2200;800;850;3110.228;5344;4056;32;3110;
2300;800;850;3110.238;5421;4111;32;3110;
2400;800;850;3110.248;5497;4166;32;3110;
800;600;850;3118.086;4162;3203;30;3118;
900;600;850;3118.096;4258;3271;30;3118;
1000;600;850;3118.106;4353;3339;30;3118;
1100;600;850;3118.116;4449;3406;31;3118;
1200;600;850;3118.126;4544;3474;31;3118;
1300;600;850;3118.136;4640;3541;31;3118;
1400;600;850;3118.146;4736;3609;31;3118;
1500;600;850;3118.156;4831;3676;31;3118;
1600;600;850;3118.166;4927;3744;32;3118;
1700;600;850;3118.176;5022;3812;32;3118;
1800;600;850;3118.186;5118;3879;32;3118;
1900;600;850;3118.196;5213;3947;32;3118;
2000;600;850;3118.206;5351;4050;32;3118;
2100;600;850;3118.216;5447;4118;32;3118;
2200;600;850;3118.226;5543;4186;32;3118;
2300;600;850;3118.236;5638;4254;33;3118;
2400;600;850;3118.246;5734;4321;33;3118;
800;700;850;3118.087;4321;3313;30;3118;
900;700;850;3118.097;4424;3386;31;3118;
1000;700;850;3118.107;4528;3459;31;3118;
1100;700;850;3118.117;4631;3531;31;3118;
1200;700;850;3118.127;4734;3604;31;3118;
1300;700;850;3118.137;4837;3677;32;3118;
1400;700;850;3118.147;4941;3750;32;3118;
1500;700;850;3118.157;5044;3823;32;3118;
1600;700;850;3118.167;5148;3896;32;3118;
1700;700;850;3118.177;5251;3969;32;3118;
1800;700;850;3118.187;5354;4042;32;3118;
1900;700;850;3118.197;5457;4115;33;3118;
2000;700;850;3118.207;5603;4224;33;3118;
2100;700;850;3118.217;5706;4297;33;3118;
2200;700;850;3118.227;5809;4369;33;3118;
2300;700;850;3118.237;5912;4442;33;3118;
2400;700;850;3118.247;6016;4515;33;3118;
800;800;850;3118.088;4526;3454;31;3118;
900;800;850;3118.098;4643;3536;31;3118;
1000;800;850;3118.108;4760;3618;32;3118;
1100;800;850;3118.118;4876;3700;32;3118;
1200;800;850;3118.128;4993;3782;32;3118;
1300;800;850;3118.138;5110;3865;32;3118;
1400;800;850;3118.148;5226;3947;32;3118;
1500;800;850;3118.158;5343;4029;33;3118;
1600;800;850;3118.168;5460;4111;33;3118;
1700;800;850;3118.178;5577;4193;33;3118;
1800;800;850;3118.188;5693;4275;33;3118;
1900;800;850;3118.198;5810;4357;33;3118;
2000;800;850;3118.208;5969;4476;33;3118;
2100;800;850;3118.218;6085;4558;34;3118;
2200;800;850;3118.228;6202;4640;34;3118;
2300;800;850;3118.238;6319;4722;34;3118;
2400;800;850;3118.248;6435;4804;34;3118;
800;600;850;3111.086;4464;3475;28;3111;
900;600;850;3111.096;4527;3521;29;3111;
1000;600;850;3111.106;4589;3567;29;3111;
1100;600;850;3111.116;4652;3613;29;3111;
1200;600;850;3111.126;4715;3659;29;3111;
1300;600;850;3111.136;4778;3705;29;3111;
1400;600;850;3111.146;4841;3750;29;3111;
1500;600;850;3111.156;4904;3796;29;3111;
1600;600;850;3111.166;4967;3842;29;3111;
1700;600;850;3111.176;5030;3888;29;3111;
1800;600;850;3111.186;5092;3934;29;3111;
1900;600;850;3111.196;5155;3980;30;3111;
2000;600;850;3111.206;5260;4062;29;3111;
2100;600;850;3111.216;5323;4108;30;3111;
2200;600;850;3111.226;5386;4154;30;3111;
2300;600;850;3111.236;5449;4200;30;3111;
2400;600;850;3111.246;5512;4246;30;3111;
800;700;850;3111.087;4601;3571;29;3111;
900;700;850;3111.097;4668;3619;29;3111;
1000;700;850;3111.107;4735;3667;29;3111;
1100;700;850;3111.117;4801;3716;29;3111;
1200;700;850;3111.127;4868;3765;29;3111;
1300;700;850;3111.137;4935;3814;29;3111;
1400;700;850;3111.147;5001;3861;30;3111;
1500;700;850;3111.157;5068;3910;30;3111;
1600;700;850;3111.167;5135;3959;30;3111;
1700;700;850;3111.177;5201;4008;30;3111;
1800;700;850;3111.187;5268;4057;30;3111;
1900;700;850;3111.197;5335;4104;30;3111;
2000;700;850;3111.207;5443;4189;30;3111;
2100;700;850;3111.217;5510;4238;30;3111;
2200;700;850;3111.227;5577;4287;30;3111;
2300;700;850;3111.237;5644;4335;30;3111;
2400;700;850;3111.247;5710;4383;30;3111;
800;800;850;3111.088;4785;3698;29;3111;
900;800;850;3111.098;4861;3753;30;3111;
1000;800;850;3111.108;4937;3808;30;3111;
1100;800;850;3111.118;5013;3863;30;3111;
1200;800;850;3111.128;5090;3918;30;3111;
1300;800;850;3111.138;5166;3973;30;3111;
1400;800;850;3111.148;5242;4029;30;3111;
1500;800;850;3111.158;5319;4084;30;3111;
1600;800;850;3111.168;5395;4139;30;3111;
1700;800;850;3111.178;5471;4194;30;3111;
1800;800;850;3111.188;5547;4249;31;3111;
1900;800;850;3111.198;5624;4304;31;3111;
2000;800;850;3111.208;5742;4396;31;3111;
2100;800;850;3111.218;5818;4451;31;3111;
2200;800;850;3111.228;5895;4506;31;3111;
2300;800;850;3111.238;5971;4561;31;3111;
2400;800;850;3111.248;6047;4616;31;3111;
800;600;850;3119.086;4712;3654;29;3119;
900;600;850;3119.096;4807;3721;29;3119;
1000;600;850;3119.106;4903;3789;29;3119;
1100;600;850;3119.116;4998;3856;30;3119;
1200;600;850;3119.126;5094;3924;30;3119;
1300;600;850;3119.136;5190;3991;30;3119;
1400;600;850;3119.146;5286;4059;30;3119;
1500;600;850;3119.156;5381;4127;30;3119;
1600;600;850;3119.166;5477;4194;31;3119;
1700;600;850;3119.176;5572;4262;31;3119;
1800;600;850;3119.186;5668;4330;31;3119;
1900;600;850;3119.196;5764;4397;31;3119;
2000;600;850;3119.206;5901;4501;31;3119;
2100;600;850;3119.216;5997;4569;31;3119;
2200;600;850;3119.226;6092;4636;31;3119;
2300;600;850;3119.236;6188;4704;32;3119;
2400;600;850;3119.246;6283;4771;32;3119;
800;700;850;3119.087;4871;3763;29;3119;
900;700;850;3119.097;4975;3836;30;3119;
1000;700;850;3119.107;5078;3909;30;3119;
1100;700;850;3119.117;5181;3982;30;3119;
1200;700;850;3119.127;5284;4055;30;3119;
1300;700;850;3119.137;5388;4128;31;3119;
1400;700;850;3119.147;5491;4200;31;3119;
1500;700;850;3119.157;5594;4273;31;3119;
1600;700;850;3119.167;5697;4346;31;3119;
1700;700;850;3119.177;5801;4419;31;3119;
1800;700;850;3119.187;5904;4492;31;3119;
1900;700;850;3119.197;6007;4565;32;3119;
2000;700;850;3119.207;6152;4674;32;3119;
